,location,year,BMI: Obese (BMI 30.0 - 99.8),BMI: Overweight (BMI 25.0-29.9),BMI: Normal Weight (BMI 18.5-24.9),BMI: Underweight (BMI 12.0-18.4),General health: Excellent,General health: Very good,General health: Good,General health: Fair,General health: Poor,Health status: Good or Better,Health status: Fair or Poor,Doc visit: Past year,Doc visit: Past 2 years,Doc visit: Past 5 years,Doc visit: 5+ years ago,Doc visit: Never,"Concentrate, remember, decide: Difficult","Concentrate, remember, decide: Not difficult",Bad mental health days: 0,Bad mental health days: 1-13,Bad mental health days: 14+,Fruit eaten: Daily,Fruit eaten: Not daily,Vegetables eaten: Daily,Vegetables eaten: Not daily,Aerobic activity per week: Over 150 min,Aerobic activity per week: Under 150 min,Met physical activity guidelines: Yes,Met physical activity guidelines: No,Strength training: 2x+ per week,Strength training: 1x- per week,Physically active in last month: Yes,Physically active in last month: No
283,Utah,2020,28.6,33.8,35.2,2.5,25.7,36.2,27.5,8.2,2.4,89.3,10.7,68.6,14.9,8.5,7.3,0.8,10.8,89.2,53.4,31.6,15.0,,,,,,,,,,,84.1,15.9
284,Utah,2021,30.9,33.3,33.7,2.1,22.4,36.2,29.0,9.7,2.7,87.6,12.4,69.5,13.3,8.6,7.6,1.0,12.9,87.1,50.2,32.8,17.1,62.3,37.7,80.0,20.0,,,,,,,82.7,17.3
285,Arkansas,2015,34.5,35.0,28.2,2.3,14.3,28.0,33.9,17.1,6.7,76.2,23.8,68.8,11.9,7.6,9.5,2.2,14.5,85.5,,,,50.4,49.6,71.9,28.1,45.1,54.9,15.6,84.4,24.4,75.6,65.8,34.2
286,Arkansas,2016,35.7,32.5,29.7,2.0,14.0,28.6,31.9,17.1,8.4,74.4,25.6,72.2,10.9,6.4,9.0,1.6,15.5,84.5,,,,,,,,,,,,,,67.5,32.5
287,Arkansas,2017,35.0,35.4,27.8,1.7,14.1,29.0,32.8,16.6,7.5,75.8,24.2,70.2,11.4,8.6,8.6,1.1,15.4,84.6,,,,55.6,44.4,80.8,19.2,45.4,54.6,16.5,83.5,25.6,74.4,67.4,32.6
288,Arkansas,2018,37.1,33.3,27.2,2.4,13.7,29.3,32.3,17.1,7.6,75.3,24.7,77.5,9.4,6.2,5.9,1.0,14.6,85.4,,,,,,,,,,,,,,69.0,31.0
289,Arkansas,2019,37.4,33.2,27.8,1.6,13.2,28.1,33.5,17.5,7.6,74.8,25.2,79.5,8.7,5.1,5.4,1.4,17.2,82.8,58.7,23.5,17.8,53.7,46.3,78.6,21.4,45.8,54.2,19.3,80.7,32.2,67.8,68.8,31.2
290,Arkansas,2020,36.4,30.9,31.1,1.6,18.8,30.0,30.7,14.6,5.9,79.4,20.6,76.0,10.8,5.8,6.6,0.8,14.3,85.7,58.7,23.6,17.8,,,,,,,,,,,70.3,29.7
291,Arkansas,2021,38.6,31.7,27.7,2.0,17.0,29.5,31.5,15.7,6.3,78.0,22.0,77.3,10.9,4.7,5.7,1.3,17.5,82.5,57.0,24.6,18.4,54.6,45.4,79.6,20.4,,,,,,,69.4,30.6
292,Vermont,2015,25.1,34.7,38.5,1.6,20.1,38.5,28.8,9.2,3.4,87.4,12.6,69.7,15.3,8.3,6.3,0.4,8.7,91.3,,,,66.2,33.8,82.4,17.6,58.9,41.1,22.7,77.3,30.5,69.5,77.8,22.2
293,Vermont,2016,27.1,34.7,36.7,1.6,21.5,36.9,28.2,9.6,3.9,86.5,13.5,69.9,15.4,8.4,6.0,0.4,9.3,90.7,,,,,,,,,,,,,,80.5,19.5
294,Vermont,2017,27.6,35.1,35.8,1.6,20.4,36.5,29.0,10.2,3.9,85.9,14.1,70.2,14.1,8.7,6.5,0.5,10.2,89.8,,,,70.4,29.6,87.2,12.8,59.7,40.3,22.6,77.4,31.4,68.6,78.4,21.6
295,Vermont,2018,27.5,33.6,37.4,1.5,18.7,38.1,29.4,10.1,3.7,86.2,13.8,76.2,12.9,5.5,5.2,,10.1,89.9,,,,,,,,,,,,,,81.1,18.9
296,Vermont,2019,26.6,32.9,38.2,2.3,17.3,38.4,30.6,10.3,3.4,86.3,13.7,75.0,13.0,6.8,4.9,0.3,9.5,90.5,57.8,28.2,14.0,68.2,31.8,87.5,12.5,61.3,38.7,28.5,71.5,39.7,60.3,80.0,20.0
297,Vermont,2020,26.2,35.7,36.5,1.6,23.5,38.6,26.5,8.9,2.4,88.7,11.3,71.9,15.2,7.1,5.4,0.4,8.9,91.1,57.1,28.7,14.2,,,,,,,,,,,81.8,18.2
298,Vermont,2021,29.0,32.1,36.5,2.4,19.8,37.9,30.0,8.8,3.6,87.7,12.3,71.7,15.6,7.1,5.6,,11.8,88.2,53.4,31.0,15.6,66.0,34.0,86.2,13.8,,,,,,,82.2,17.8
299,Virginia,2015,29.2,34.9,34.0,1.9,19.6,35.4,29.8,11.5,3.7,84.8,15.2,75.0,11.2,7.3,5.7,0.8,8.7,91.3,,,,59.9,40.1,78.2,21.8,51.0,49.0,22.1,77.9,32.3,67.7,74.8,25.2
300,Virginia,2016,29.0,36.5,32.9,1.7,19.2,34.1,30.4,12.4,3.9,83.7,16.3,74.7,12.1,6.3,5.9,1.0,9.3,90.7,,,,,,,,,,,,,,76.7,23.3
301,Virginia,2017,30.0,36.3,32.0,1.7,19.0,33.4,31.2,12.2,4.2,83.6,16.4,73.2,12.0,7.5,6.4,0.9,9.6,90.4,,,,63.4,36.6,84.2,15.8,50.8,49.2,21.8,78.2,32.5,67.5,74.0,26.0
302,Virginia,2018,30.4,35.9,31.9,1.8,19.0,34.1,29.6,13.0,4.4,82.7,17.3,79.5,9.2,5.5,5.0,0.7,10.7,89.3,,,,,,,,,,,,,,78.0,22.0
303,Virginia,2019,31.9,34.5,32.2,1.5,18.2,34.3,30.6,12.7,4.3,83.0,17.0,79.9,9.4,4.8,4.9,1.0,10.0,90.0,63.8,23.5,12.7,61.7,38.3,82.1,17.9,49.3,50.7,22.7,77.3,35.8,64.2,74.7,25.3
304,Virginia,2020,32.2,35.1,30.9,1.9,22.6,34.4,30.0,9.8,3.2,87.0,13.0,77.3,11.9,5.4,4.8,0.7,9.5,90.5,64.2,23.5,12.2,,,,,,,,,,,79.1,20.9
305,Virginia,2021,34.2,33.9,29.9,2.0,19.5,34.4,31.1,11.9,3.1,85.0,15.0,76.6,11.9,6.7,4.2,0.6,11.4,88.6,58.2,27.1,14.7,60.4,39.6,81.9,18.1,,,,,,,79.1,20.9
306,Washington,2015,26.4,36.1,35.9,1.5,19.0,35.1,31.0,11.2,3.7,85.1,14.9,63.6,16.0,10.2,8.5,1.7,9.8,90.2,,,,63.5,36.5,83.2,16.8,58.4,41.6,22.7,77.3,31.8,68.2,81.0,19.0
307,Washington,2016,28.6,34.8,34.5,2.0,18.7,34.7,32.2,11.0,3.3,85.6,14.4,64.2,16.6,10.0,7.9,1.3,9.8,90.2,,,,,,,,,,,,,,82.4,17.6
308,Washington,2017,27.7,34.5,35.9,1.9,17.7,33.6,32.6,11.8,4.2,84.0,16.0,65.3,14.8,10.3,8.3,1.4,10.5,89.5,,,,68.2,31.8,83.4,16.6,58.0,42.0,23.5,76.5,32.6,67.4,80.8,19.2
309,Washington,2018,28.7,34.7,34.7,1.9,18.8,33.4,32.0,12.0,3.7,84.3,15.7,71.5,14.0,7.6,6.2,0.8,10.2,89.8,,,,,,,,,,,,,,82.4,17.6
310,Washington,2019,28.3,35.6,34.3,1.8,17.5,34.2,32.0,12.4,3.9,83.8,16.2,71.6,14.3,7.4,5.8,1.0,9.8,90.2,58.7,27.6,13.6,63.9,36.1,81.1,18.9,58.4,41.6,25.9,74.1,36.5,63.5,80.8,19.2
